ID,quiet,steady,changing,testing,sample,finalAudioCheck,help_person,external_help,aloud_rehearsal,sound_off,unplug_hp,external_distraction,device_used,audio_device,response_device,motivation,concentration,location_time,switch_screen,technical_issue,hearing,cse,sse,ise
hcpib3mqkg9k85ps,0.375,0.2875,0.1875,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,average,high,AM,FALSE,FALSE,NA,0.09999999999999998,0.08750000000000002,0.1875
hcpib3mqkg9ly4cb,0.7875,0.625,0.48125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,highest,11:50 AM,FALSE,FALSE,NA,0.14375,0.16249999999999998,0.30624999999999997
hcpibiaokgsn75on,0.73125,0.7,0.6875,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,average,high,12:19pm,FALSE,FALSE,NA,0.012499999999999956,0.03125,0.043749999999999956
hcpibomukk76e1k3,0.65625,0.625,0.55,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,12:44 PM,FALSE,FALSE,NA,0.07499999999999996,0.03125,0.10624999999999996
hcpibomukkfsy7rw,0.6625,0.775,0.525,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,1:55 PM,FALSE,FALSE,NA,0.25,-0.11250000000000004,0.13749999999999996
hcpibomukkitt2g1,0.76875,0.825,0.8125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,4:25 PM,FALSE,FALSE,NA,0.012499999999999956,-0.05624999999999991,-0.043749999999999956
hcpibd1jkkpsgcsb,0.71875,0.7,0.50625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,1:26 p.m.,FALSE,FALSE,NA,0.19374999999999998,0.018750000000000044,0.21250000000000002
hcpibd1jkkptp6jm,0.75625,0.78125,0.5625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,average,2:23 PM,FALSE,FALSE,NA,0.21875,-0.025000000000000022,0.19374999999999998
hcpibd1jkkpvqjmb,0.65,0.50625,0.60625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,highest,highest,3:23PM,FALSE,FALSE,NA,-0.09999999999999998,0.14375000000000004,0.04375000000000007
hcpibd1jkkr31e5r,0.85625,0.6625,0.39375,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,11:05 AM,FALSE,FALSE,NA,0.26875,0.19374999999999998,0.46249999999999997
hcpibd1jkkws4f0i,0.7,0.6625,0.48125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,highest,highest,10:54AM,FALSE,FALSE,NA,0.18124999999999997,0.03749999999999998,0.21874999999999994
hcpibd1jkky8s1w8,0.91875,0.8625,0.7,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,11:18 AM,FALSE,FALSE,i did not,0.1625000000000001,0.05624999999999991,0.21875
hcpibd1jkl10g24x,0.51875,0.5375,0.53125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,low,average,9:58am,FALSE,FALSE,NA,0.006249999999999978,-0.018749999999999933,-0.012499999999999956
hcpibd1jkl2n9h35,0.8625,0.575,0.46875,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,low,high,1:31 PM,FALSE,FALSE,NA,0.10624999999999996,0.2875000000000001,0.39375000000000004
hcpibkajklmp2qhk,0.875,0.9,0.84375,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,2:22 PM,FALSE,FALSE,N/A,0.05625000000000002,-0.025000000000000022,0.03125
hcpibkajkls9o0ev,0.5125,0.5125,0.5125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,In-ear,Mouse,high,high,12:08 PM,FALSE,FALSE,NA,0,0,0
hcpib29qkm2ch7dt,0.625,0.625,0.43125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,12:59 p.m.,FALSE,FALSE,NA,0.19374999999999998,0,0.19374999999999998
hcpib29qkm3tja5s,0.70625,0.59375,0.51875,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,average,1:50 PM,FALSE,FALSE,NA,0.07499999999999996,0.11250000000000004,0.1875
hcpib29qkm3v2og4,0.51875,0.5,0.45625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,average,2:23 PM,FALSE,FALSE,NA,0.04375000000000001,0.018750000000000044,0.06250000000000006
hcpib29qkm53rajc,0.75,0.75625,0.65625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,highest,high,11:12 AM,FALSE,FALSE,n/a,0.09999999999999998,-0.006249999999999978,0.09375
hcpib29qkm55w6xa,0.66875,0.59375,0.575,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,highest,12:54pm,FALSE,FALSE,NA,0.018750000000000044,0.07499999999999996,0.09375
hcpib29qkm594p47,0.75,0.6625,0.43125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,highest,1:55,FALSE,FALSE,NA,0.23124999999999996,0.08750000000000002,0.31875
hcpib29qkm5amekh,0.86875,0.725,0.675,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,2:25,FALSE,FALSE,NA,0.04999999999999993,0.14375000000000004,0.19374999999999998
hcpib29qkmc2brj0,0.64375,0.61875,0.5,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,average,average,9:35 AM,FALSE,FALSE,NA,0.11875000000000002,0.025000000000000022,0.14375000000000004
hcpib29qkmf1lndu,0.8625,0.85625,0.7875,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,highest,highest,11:21 AM,FALSE,FALSE,NA,0.06874999999999998,0.006250000000000089,0.07500000000000007
hcpib29qkmkpnoie,0.425,0.46875,0.4625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,10:19,FALSE,FALSE,NA,0.006249999999999978,-0.04375000000000001,-0.03750000000000003
hcpibfatkmoyhqra,0.8,0.8375,0.73125,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,average,average,10:00 AM,FALSE,FALSE,NA,0.10625000000000007,-0.03749999999999998,0.06875000000000009
hcpibj7dkmqlkj4b,0.7625,0.75625,0.65625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,average,high,2:01 PM,FALSE,FALSE,NA,0.09999999999999998,0.006249999999999978,0.10624999999999996
hcpib4y5kmxv0x92,0.75625,0.9,0.4375,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,3:12 PM,FALSE,FALSE,NA,0.4625,-0.14375000000000004,0.31875
hcpib8m6kn67ca32,0.6875,0.60625,0.50625,In-Person,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,11:26am,FALSE,FALSE,NA,0.09999999999999998,0.08125000000000004,0.18125000000000002
