ID,quiet,steady,changing,testing,sample,finalAudioCheck,help_person,external_help,aloud_rehearsal,sound_off,unplug_hp,external_distraction,device_used,audio_device,response_device,motivation,concentration,location_time,switch_screen,technical_issue,hearing,cse,sse,ise
hcpibiaokgx6knvn,0.60625,0.55625,0.43125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,average,12:10 AM,FALSE,FALSE,NA,0.125,0.04999999999999993,0.17499999999999993
hcpibfcakha2fj5z,0.94375,0.93125,0.8125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,4:13 PM,FALSE,FALSE,n/a,0.11875000000000002,0.012499999999999956,0.13124999999999998
hcpibfcakhce9qs7,0.8,0.70625,0.54375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,high,10:17 AM,FALSE,FALSE,NA,0.1625000000000001,0.09375,0.2562500000000001
hcpib1c2khf7tr2g,0.775,0.6375,0.43125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,average,high,1:58pm,FALSE,FALSE,NA,0.20624999999999993,0.13750000000000007,0.34375
hcpib1c2khghsz3b,0.66875,0.7125,0.58125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,average,11:29 AM,FALSE,FALSE,NA,0.13124999999999998,-0.04375000000000007,0.08749999999999991
hcpib1c2khhrdxca,0.75,0.6875,0.53125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,average,10:38 PM,FALSE,FALSE,NA,0.15625,0.0625,0.21875
hcpib1c2khji8o8b,0.39375,0.525,0.54375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,highest,highest,1:53 PM,FALSE,FALSE,NA,-0.018749999999999933,-0.13125000000000003,-0.14999999999999997
hcpib1c2khkmov38,0.79375,0.7625,0.73125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,high,8:38 AM,FALSE,FALSE,NA,0.03125,0.03125,0.0625
hcpib1c2khkxveds,0.925,0.7125,0.59375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,On-ear,Touchscreen,high,high,1:59pm,FALSE,FALSE,NA,0.11875000000000002,0.21250000000000002,0.33125000000000004
hcpib1c2khp9050y,0.925,0.925,0.9375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,highest,highest,2:24 PM,FALSE,FALSE,NA,-0.012499999999999956,0,-0.012499999999999956
hcpib1c2khup53gr,0.75,0.80625,0.66875,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,10:01 AM,FALSE,FALSE,NA,0.13750000000000007,-0.05625000000000002,0.08125000000000004
hcpib1c2ki3p4bcp,0.84375,0.7125,0.7125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Mouse,high,average,5:15pm,FALSE,FALSE,NA,0,0.13124999999999998,0.13124999999999998
hcpib1c2ki419v1m,0.61875,0.55625,0.4875,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,average,high,3:17 PM,FALSE,FALSE,NA,0.06875000000000003,0.0625,0.13125000000000003
hcpib1c2ki52w16t,0.88125,0.8,0.725,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,high,4:54 p.m.,FALSE,FALSE,NA,0.07500000000000007,0.08124999999999993,0.15625
hcpib1c2ki5acp70,0.74375,0.66875,0.70625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,highest,7:42 PM,FALSE,FALSE,NA,-0.03750000000000009,0.07500000000000007,0.03749999999999998
hcpib1c2ki5qrhbp,0.3125,0.35625,0.3,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,low,3:16 AM,FALSE,FALSE,NA,0.05625000000000002,-0.04375000000000001,0.012500000000000011
hcpib1c2ki6bf7d2,0.78125,0.6375,0.55,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,average,high,9:11 AM,FALSE,FALSE,NA,0.08749999999999991,0.14375000000000004,0.23124999999999996
hcpibomukk383wjx,0.775,0.7875,0.63125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,10:19 PM,FALSE,FALSE,NA,0.15625,-0.012499999999999956,0.14375000000000004
